"iso3","gpi","Year","pop","area"
"KHM",2.60612313937754,2009,14276.81,"South-Eastern Asia"
"KOR",1.51836941813261,2009,48546.6865,"Eastern Asia"
"KWT",1.74962787550744,2009,2795.484,"Northern Africa and Western Asia"
"LAO",2.1638700947226,2009,6241.642,"South-Eastern Asia"
"LBN",2.50543572395129,2009,4992.2865,"Northern Africa and Western Asia"
"LBR",2.27219215155616,2009,3943.0275,"Sub-Saharan Africa"
"LBY",2.20348443843031,2009,6366.6865,"Northern Africa and Western Asia"
"LKA",2.69328687415426,2009,20756.435,"Central and Southern Asia"
"LSO",2.47997293640054,2009,1980.883,"Sub-Saharan Africa"
"LTU",1.96721921515562,2009,3163.254,"Europe and North America"
"LVA",2.0872801082544,2009,2142.0425,"Europe and North America"
"MAR",2.32381596752368,2009,32030.778,"Northern Africa and Western Asia"
"MDA",2.32357916102842,2009,3706.21,"Europe and North America"
"MDG",2.16633964817321,2009,21547.2795,"Sub-Saharan Africa"
"MEX",2.74670230040595,2009,111999.721,"Latin America and the Caribbean"
"MKD",2.23166441136671,2009,2060.5985,"Europe and North America"
"MLI",2.62475642760487,2009,15435.5385,"Sub-Saharan Africa"
"MMR",2.60993775372124,2009,48660.459,"South-Eastern Asia"
"MNE",2.29184709066306,2009,632.4375,"Europe and North America"
"MNG",2.59462110960758,2009,2665.326,"Eastern Asia"
"MOZ",2.11001353179973,2009,22391.7445,"Sub-Saharan Africa"
"MRT",2.5216400541272,2009,3284.4485,"Sub-Saharan Africa"
"MUS",2.19292963464141,2009,1278.972,"Sub-Saharan Africa"
"MWI",2.13974966170501,2009,14395.788,"Sub-Saharan Africa"
"MYS",2.02899188092016,2009,28124.7775,"South-Eastern Asia"
"NAM",2.46150202976996,2009,2077.3935,"Sub-Saharan Africa"
"NER",2.54092692828146,2009,15943.6755,"Sub-Saharan Africa"
"NGA",3.3089702300406,2009,162049.464,"Sub-Saharan Africa"
"NIC",2.07516914749662,2009,5656.601,"Latin America and the Caribbean"
"NLD",1.43382949932341,2009,16684.15,"Europe and North America"
"NOR",1.32618403247632,2009,4828.6225,"Europe and North America"
"NPL",2.33314208389716,2009,27173.0345,"Central and Southern Asia"
"NZL",1.49242219215156,2009,4304.304,"Oceania"
"OMN",1.7702300405954,2009,2684.659,"Northern Africa and Western Asia"
"PAK",3.09353585926928,2009,194376.534,"Central and Southern Asia"
"PAN",2.18325439783491,2009,3564.381,"Latin America and the Caribbean"
"PER",2.26995263870095,2009,28896.811,"Latin America and the Caribbean"
"PHL",2.71285385656292,2009,94384.25,"South-Eastern Asia"
"PNG",2.46772665764547,2009,7406.438,"Oceania"
"POL",1.78947902571042,2009,38002.155,"Europe and North America"
"PRK",2.91380243572395,2009,24878.332,"Eastern Asia"
"PRT",1.53562246278755,2009,10576.267,"Europe and North America"
"PRY",2.5729702300406,2009,5671.2365,"Latin America and the Caribbean"
"QAT",1.50581867388363,2009,1586.0495,"Northern Africa and Western Asia"
"ROU",1.8814952638701,2009,20576.9265,"Europe and North America"
"RUS",3.49201894451962,2009,143869.132,"Europe and North America"
"RWA",2.37364682002706,2009,10060.4315,"Sub-Saharan Africa"
"SAU",2.57637618403248,2009,24217.6535,"Northern Africa and Western Asia"
"SDN",3.25094722598106,2009,34569.1125,"Northern Africa and Western Asia"
"SEN",2.36156968876861,2009,12337.389,"Sub-Saharan Africa"
"SGP",1.37723274695535,2009,4968.5675,"South-Eastern Asia"
"SLE",2.07520297699594,2009,6055.6465,"Sub-Saharan Africa"
"SLV",2.93064952638701,2009,6048.279,"Latin America and the Caribbean"
"SOM",3.36016644113667,2009,11961.201,"Sub-Saharan Africa"
"SRB",2.23964817320704,2009,7425.3475,"Europe and North America"
"SVK",1.77709742895805,2009,5385.0725,"Europe and North America"
"SVN",1.42087280108254,2009,2035.608,"Europe and North America"
"SWE",1.29096752368065,2009,9298.74,"Europe and North America"
"SWZ",2.60811907983762,2009,1105.1535,"Sub-Saharan Africa"
"SYR",2.47749255751015,2009,21976.9695,"Northern Africa and Western Asia"
"TCD",2.81245466847091,2009,11893.7535,"Sub-Saharan Africa"
"TGO",2.34857916102842,2009,6551.8655,"Sub-Saharan Africa"
"THA",3.07724221921516,2009,68121.08,"South-Eastern Asia"
"TJK",2.56353179972936,2009,7490.23,"Central and Southern Asia"
"TKM",2.4479702300406,2009,5451.592,"Central and Southern Asia"
"TLS",2.30825439783491,2009,1058.782,"South-Eastern Asia"
"TTO",2.80304465493911,2009,1379.056,"Latin America and the Caribbean"
"TUN",2.36894451962111,2009,10650.6805,"Northern Africa and Western Asia"
"TUR",2.84752368064953,2009,72464.848,"Northern Africa and Western Asia"
"TWN",1.6547699594046,2009,23164.361,"Eastern Asia"
"TZA",2.11507713125846,2009,43633.9815,"Sub-Saharan Africa"
"UGA",2.66069959404601,2009,31451.151,"Sub-Saharan Africa"
"UKR",2.57912719891746,2009,46623.731,"Europe and North America"
